年份,省份,城市代码,地级市,人均地区生产总值,CO2排放量,碳排放强度,绿色金融综合指数,绿色信贷,绿色投资,绿色保险,绿色债券,绿色支持,绿色基金,绿色权益,GDP,GDP增速,人均GDP,第一产业增加值,第二产业增加值,第三产业增加值,第一产业增加值占GDP比重,第二产业增加值占GDP比重,第三产业增加值占GDP比重,年末常住人口数,能源消费总量,人均能源消耗,减排效率,地区生产总值,能源消费强度,长江经济带,最早试点年份,Post_carbon,Treat_carbon,碳排放交易DID,经度,纬度,长江经济带.1,年份.1,Post_green,Treat_green,绿色金融试点DID,产业结构高级化,能源利用效率,绿色信贷规模,indus_2,gfi_std
2024,安徽省,341700,池州市,11780000,16023515.15,-1.36023048811545,0.23762881,0.041966,0.013821,0.017245,0.010394,0.014025,0.073751,0.070953,11778000.0,6.3,88957.7039274924,1017000.0,5004000.0,5757000.0,8.6,42.5,48.9,132.4,802.6378,6.06221903323263,1.3605,11710656,0.685391,1,0,0,0,0,117.491568,30.6648,1,2024,0,0,0,1.1504796163069544,14590.212422091261,3.5835737980861194e-09,0.42730313314642665,1.0837308242940262
2000,辽宁省,210100,沈阳市,11191428,13616238.36,-1.21666675244661,0.17591996,0.053684,0.015961,0.024803,0.010701,0.002219,0.057668,0.021822,10468200.0,10.2,14531.0938367574,717700.0,4164400.0,5586100.0,6.9,39.8,53.3,720.4,1223.2124216,1.69796282842865,1.3007,11191428,1.09299047592497,0,0,0,0,0,123.431474,41.805698,0,2000,0,0,0,1.3413937181826914,9149.210556054739,4.796885616384254e-09,0.3721062227268942,0.29670010115528506
2001,辽宁省,210100,沈阳市,12364727,13827776.16,-1.11832442074944,0.13675506,0.034904,0.00854,0.014064,0.005323,0.006978,0.053383,0.02747,11485500.0,9.8,15839.4472639011,775100.0,4465500.0,6244900.0,6.7,38.9,54.4,725.12,1119.51218512,1.54389919616064,1.2039,12364727,0.905407927825661,0,0,0,0,0,123.431474,41.805698,0,2001,0,0,0,1.3984772141977382,11044.74534922068,2.822868632683924e-09,0.3611482889998299,-0.2028065266405085
2002,辽宁省,210100,沈阳市,14000238,14688763.27,-1.04917954037639,0.16430199,0.047167,0.010693,0.02109,0.008259,0.007126,0.0597,0.022032,12687200.0,10.7,17383.5361175052,846100.0,4967300.0,6873800.0,6.7,39.1,54.2,729.84,1154.9807347,1.58251224199825,1.1578,14000238,0.824972214543781,0,0,0,0,0,123.431474,41.805698,0,2002,0,0,0,1.3838101181728504,12121.62036939645,3.369014155330788e-09,0.3548011112382518,0.14852525539970576
2003,辽宁省,210100,沈阳市,16033795,16757722.93,-1.04515013008461,0.17069738,0.047418,0.012136,0.022409,0.00556,0.007313,0.059982,0.031003,14018900.0,11.1,19084.7582226095,860600.0,5868500.0,7289800.0,6.1,41.9,52.0,734.56,1295.97671948,1.76428980543455,1.1954,16033795,0.808278214533739,0,0,0,0,0,123.431474,41.805698,0,2003,0,0,0,1.2421913606543409,12371.977643574824,2.9573784621794155e-09,0.366008172113963,0.23009165011382332
2004,辽宁省,210100,沈阳市,19006886,18772211.82,-0.98765320210791,0.22042516,0.060409,0.016898,0.029548,0.008184,0.005779,0.071075,0.046963,15391300.0,11.2,20819.3106806623,1089500.0,6575400.0,7726400.0,7.1,42.7,50.2,739.28,1496.74419464,2.02459716838005,1.2197,19006886,0.787474705030587,0,0,0,0,0,123.431474,41.805698,0,2004,0,0,0,1.1750463850107977,12698.820592099624,3.1782691809694653e-09,0.3459483052615773,0.8643165733377081
2005,辽宁省,210100,沈阳市,20841339,20921599.5,-1.00385102415924,0.22007153,0.064092,0.015176,0.025768,0.008647,0.014501,0.072532,0.024299,18106600.0,12.7,24336.8279569892,1196900.0,8073700.0,8836000.0,6.6,44.6,48.8,744.0,1921.0126221,2.5820062125,1.1555,20841339,0.921731862861594,0,0,0,0,0,123.431474,41.805698,0,2005,0,0,0,1.0944176771492624,10849.142145259202,3.0752342735752245e-09,0.3873887373551191,0.8598063989522906
2006,辽宁省,210100,沈阳市,25196338,22155710.93,-0.879322659110225,0.23991988,0.076219,0.020295,0.038026,0.008063,0.009834,0.073664,0.024046,21223700.0,14.1,28020.3052386988,1272900.0,9674300.0,10276500.0,6.0,45.6,48.4,757.44,1919.39836185,2.53405994118346,1.0439,25196338,0.76177671606485,0,0,0,0,0,123.431474,41.805698,0,2006,0,0,0,1.0622473977445397,13127.206160431788,3.0250030778282144e-09,0.3839565892472152,1.1129509844308862
2007,辽宁省,210100,沈阳市,32211508,22621130.01,-0.70226858084384,0.18079442,0.057861,0.015402,0.028739,0.007698,0.006023,0.05351,0.020209,25409300.0,16.3,32961.4207139892,1336600.0,12069300.0,12003300.0,5.3,47.5,47.2,770.88,2240.58691168,2.9065313819012,0.8903,32211508,0.695585848287513,0,0,0,0,0,123.431474,41.805698,0,2007,0,0,0,0.9945315801247794,14376.370687556904,1.796283489739133e-09,0.37468907075073915,0.358868651998655
2008,辽宁省,210100,沈阳市,38604745,26567816.67,-0.688200807180568,0.25414121,0.077116,0.019617,0.037187,0.012228,0.008083,0.071159,0.037429,29410600.0,12.5,37498.2150142799,1432900.0,14331200.0,13646500.0,4.9,48.7,46.4,784.32,2285.57408812,2.9140836496838,0.9033,38604745,0.592044860837703,0,0,0,0,0,123.431474,41.805698,0,2008,0,0,0,0.9522231215808865,16890.61194763297,1.997578276970875e-09,0.3712289771632995,1.2943289169947676
2009,辽宁省,210100,沈阳市,42685137,30655321.69,-0.718173206050621,0.23234356,0.074069,0.018587,0.034235,0.011937,0.00931,0.048436,0.033261,32233500.0,10.9,40405.0090252708,1617300.0,15737300.0,14879000.0,5.0,48.8,46.2,797.76,2851.22631467,3.57404020591406,0.951,42685137,0.667967005627743,0,0,0,0,0,123.431474,41.805698,0,2009,0,0,0,0.9454607842514281,14970.799329530024,1.7352410043805177e-09,0.3686833662967979,1.0163230840838453
2010,辽宁省,210100,沈阳市,50175427,34746141.17,-0.692493183366432,0.24400867,0.072358,0.016959,0.030347,0.011276,0.013775,0.062496,0.036304,35273800.0,10.3,43483.4812623274,1791200.0,17256600.0,16225900.0,5.1,48.9,46.0,811.2,2730.90402345,3.3664990427145,0.985,50175427,0.544271207388031,0,0,0,0,0,123.431474,41.805698,0,2010,0,0,0,0.9402721277656085,18373.193114495647,1.4421003332966157e-09,0.34392532424288086,1.1650991503821633
2011,辽宁省,210100,沈阳市,59157142,35989606.85,-0.608372981406032,0.23502043,0.06649,0.013352,0.026796,0.012137,0.014205,0.071455,0.034225,40098200.0,9.6,49019.804400978,1963400.0,19713700.0,18421100.0,4.9,49.2,45.9,818.0,2727.24298479,3.33403787871638,0.8975,59157142,0.4610166908993,0,0,0,0,0,123.431474,41.805698,0,2011,0,0,0,0.9344313852802874,21691.188621594403,1.1239555825736137e-09,0.3332429413172124,1.0504637127270366
2012,辽宁省,210100,沈阳市,66025865,39990479.12,-0.605678988378267,0.19878679,0.063702,0.018819,0.027301,0.011372,0.00621,0.050938,0.020674,43955500.0,9.2,53421.8522119592,2110000.0,21186400.0,20659100.0,4.8,48.2,47.0,822.8,3053.5551334,3.71117541735537,0.9098,66025865,0.462478626126292,0,0,0,0,0,123.431474,41.805698,0,2012,0,0,0,0.975111392213873,21622.62088468764,9.648037174522438e-10,0.3208803095574742,0.5883421873518462
2013,辽宁省,210100,沈阳市,71585745,41103779.4,-0.574189447913129,0.30561623,0.103144,0.029769,0.050507,0.020401,0.002466,0.063502,0.032752,47571800.0,8.7,57287.8131021195,2249100.0,22583400.0,22739300.0,4.7,47.5,47.8,830.4,2763.66744774,3.32811590527457,0.864,71585745,0.38606393601687,0,0,0,0,0,123.431474,41.805698,0,2013,0,0,0,1.006903300654463,25902.445338906287,1.4408455202917844e-09,0.3154734228162325,1.9508380273441122
2014,辽宁省,210100,沈阳市,70987051,39937870.83,-0.562607831532542,0.24130615,0.058553,0.013635,0.026692,0.0076,0.010626,0.097214,0.053935,50530900.0,6.0,60400.3107817356,2393000.0,23125100.0,25012800.0,4.7,45.8,49.5,836.6,2946.29549821,3.52174934043748,0.7904,70987051,0.415046893300301,0,0,0,0,0,123.431474,41.805698,0,2014,0,0,0,1.0816299172760333,24093.66305692272,8.248405755015799e-10,0.3257650469238397,1.1306313832807358
2015,辽宁省,210100,沈阳市,72723051,39269287.46,-0.539984047974005,0.20808191,0.056021,0.015276,0.024887,0.008994,0.006864,0.088253,0.029315,52429000.0,3.4,61558.0603498885,2592700.0,21419700.0,28416500.0,4.9,40.9,54.2,851.7,3179.33267376,3.73292552983445,0.749,72723051,0.437183620604697,0,0,0,0,0,123.431474,41.805698,0,2015,0,0,0,1.3266525674962768,22873.684028162723,7.703334668948365e-10,0.29453797256113473,0.7068915528846893
2016,辽宁省,210100,沈阳市,55464498,38623888.91,-0.696371378138138,0.21717528,0.072311,0.018078,0.034213,0.01155,0.00847,0.05338,0.018771,52889100.0,0.4,61434.6614008596,2464500.0,19008500.0,31416100.0,4.7,35.9,59.4,860.9,2943.27008994,3.41882923677547,0.7303,55464498,0.530658384384909,0,0,0,0,0,123.431474,41.805698,0,2016,0,0,0,1.6527395638793172,18844.515217810225,1.3037348683837362e-09,0.3427147217667056,0.822867811830823
2017,辽宁省,210100,沈阳市,57847000,38781673.25,-0.670418055387488,0.25254744,0.06627,0.017022,0.033009,0.009255,0.006985,0.097933,0.050029,55492300.0,3.5,63711.0218140069,2496500.0,19188800.0,33807000.0,4.5,34.6,60.9,871.0,2737.1328294,3.14251759977038,0.6989,57847000,0.473167636938821,0,0,0,0,0,123.431474,41.805698,0,2017,0,0,0,1.7618089719002752,21134.158846313825,1.145608242432624e-09,0.3317164243608139,1.2740020764262459
2018,辽宁省,210100,沈阳市,62923981,43436437.29,-0.690300209867522,0.23199454,0.07197,0.020599,0.034663,0.010152,0.006555,0.057381,0.036615,61019200.0,5.3,68963.8336347197,2601100.0,20855300.0,37562900.0,4.3,34.2,61.5,884.8,2851.1776371,3.22239787194846,0.7118,62923981,0.453114630032706,0,0,0,0,0,123.431474,41.805698,0,2018,0,0,0,1.8011200989676486,22069.470586898075,1.1437610725869364e-09,0.331436435975022,1.0118717053433584
2019,辽宁省,210100,沈阳市,64700000,43397058.03,-0.670742782534776,0.2384818,0.05893,0.017301,0.02537,0.006542,0.009717,0.107228,0.042507,64645000.0,4.2,72253.2692522633,2840900.0,21555300.0,40248900.0,4.4,33.3,62.3,894.7,2918.61420885,3.26211490874036,0.6713,64700000,0.451099568601237,0,0,0,0,0,123.431474,41.805698,0,2019,0,0,0,1.867239147680617,22168.054895303638,9.108191653786708e-10,0.3331576506955178,1.094609804157208
2020,辽宁省,210100,沈阳市,65720000,43324330.31,-0.659225963329276,0.25820869,0.071242,0.016098,0.029922,0.013047,0.012176,0.092679,0.035941,65715500.0,0.8,72429.7365810647,3036000.0,21690100.0,40989400.0,4.6,32.9,62.4,907.3,2793.41720376,3.07882420782542,0.6593,65720000,0.425048265940353,0,0,0,0,0,123.431474,41.805698,0,2020,0,0,0,1.8897745976274891,23526.739905353006,1.0840231284236153e-09,0.33003804017042,1.346205296570021
2021,辽宁省,210100,沈阳市,72490000,45578245.53,-0.628752180024831,0.27693717,0.078533,0.015947,0.037081,0.015594,0.009911,0.09987,0.037377,72497300.0,7.0,79510.0899320026,3263600.0,25860900.0,43372800.0,4.5,35.7,59.8,911.8,2978.38986085,3.2664946927506,0.6287,72490000,0.410869066195337,0,0,0,0,0,123.431474,41.805698,0,2021,0,0,0,1.6771574075148197,24338.653899161523,1.0833632225134503e-09,0.3567512760380742,1.5850671317474623
2022,辽宁省,210100,沈阳市,76960000,45582559.19,-0.592288970764033,0.33498298,0.093545,0.020372,0.040002,0.009451,0.02372,0.09361,0.058305,76962800.0,3.5,84139.9365912321,3352000.0,28238900.0,45372000.0,4.4,36.6,59.0,914.7,2608.4325428,2.85168092576801,0.5923,76960000,0.338933542463617,0,0,0,0,0,123.431474,41.805698,0,2022,0,0,0,1.6067198084911238,29504.30909644607,1.2155015592515592e-09,0.3669295738045738,2.325379677184202
2023,辽宁省,210100,沈阳市,81220000,46595150.27,-0.573690596774194,0.39381112,0.111141,0.027382,0.045507,0.005892,0.030114,0.089935,0.081819,86247000.0,6.1,93705.9973924381,3344300.0,29531100.0,48345100.0,4.1,36.4,59.5,920.4,2760.7661,2.99952857453281,0.5403,83116800,0.332155,0,0,0,0,0,123.431474,41.805698,0,2023,0,0,0,1.6370910667059473,30106.425893885036,1.3371664934164935e-09,0.3552964021714022,3.075670009366816
2024,辽宁省,210100,沈阳市,90270000,50145214.41,-0.555502541375872,0.46685942,0.122462,0.029477,0.048847,0.005967,0.043439,0.102682,0.09834,90271000.0,5.2,97664.1782970897,3293000.0,31675000.0,55303000.0,3.6,35.1,61.3,924.3,2921.9957,3.16130661040788,0.5555,89766144,0.325512,0,0,0,0,0,123.431474,41.805698,0,2024,0,0,0,1.7459510655090766,30720.833709645776,1.3642337137707507e-09,0.3528613192965045,3.4911798524055513
2000,河北省,130900,沧州市,4613449,7783992.12,-1.68723922601073,0.155059,0.046645,0.01311,0.023242,0.005081,0.005212,0.044914,0.027796,3671500.0,10.4,5530.0337390047,811800.0,2311400.0,1490200.0,17.6,50.1,32.3,663.92,1318.1682316,1.98543232859381,2.1201,4613449,2.85722944287452,0,0,0,0,0,116.838834,38.304477,0,2000,0,0,0,0.6447174872371723,3499.893935692996,1.0110656907662791e-08,0.5010134500240493,0.030640752550209198
2001,河北省,130900,沧州市,4872054,7986728.22,-1.63929386250645,0.11115613,0.036916,0.00767,0.017132,0.006427,0.005687,0.029659,0.010772,4002400.0,9.9,5992.19086858621,864700.0,2354100.0,1653200.0,17.75,48.32,33.93,667.936,1357.65377692,2.03261057484549,1.9955,4872054,2.78661479720873,0,0,0,0,0,116.838834,38.304477,0,2001,0,0,0,0.7022641349135551,3588.5835423025433,7.57709171532171e-09,0.48318429968140747,-0.5292936413651876
2002,河北省,130900,沧州市,5313289,8431714.72,-1.58691061600451,0.10323692,0.032114,0.00755,0.015669,0.00371,0.005185,0.02996,0.016763,4345400.0,8.2,6466.83096411648,864000.0,2615100.0,1834200.0,16.26,49.22,34.52,671.952,1451.062883,2.15947401451294,1.9404,5313289,2.7310068829307,0,0,0,0,0,116.838834,38.304477,0,2002,0,0,0,0.7013880922335666,3661.6531662742555,6.04409058118239e-09,0.4921810200800295,-0.6302947388250747
2003,河北省,130900,沧州市,6288615,9260426.71,-1.47257014620866,0.12652559,0.044435,0.010385,0.021741,0.006987,0.005321,0.027725,0.010718,5078400.0,9.1,7512.78167013823,939200.0,3292000.0,2057400.0,14.93,52.35,32.72,675.968,1538.72488156,2.2763279941654,1.8235,6288615,2.44684224039793,0,0,0,0,0,116.838834,38.304477,0,2003,0,0,0,0.6249696233292831,4086.900182977762,7.065943772992941e-09,0.523485695975982,-0.33327253226897297
2004,河北省,130900,沧州市,7741155,11081609.12,-1.43151882632501,0.12399591,0.040185,0.011671,0.018322,0.006343,0.003849,0.030172,0.017267,5926600.0,11.8,8715.79331278383,1237800.0,3884300.0,2619100.0,15.99,50.18,33.83,679.984,1803.20778204,2.65183854625991,1.8698,7741155,2.32937821557636,0,0,0,0,0,116.838834,38.304477,0,2004,0,0,0,0.6742785057796772,4292.991122322186,5.191085826339868e-09,0.5017726682904554,-0.3655359090732661
2005,河北省,130900,沧州市,11307973,15748961.33,-1.39273071575251,0.1320258,0.036469,0.010177,0.015447,0.004376,0.006468,0.044921,0.024872,7669700.0,13.4,11213.0116959064,1354000.0,6037900.0,3916100.0,11.97,53.4,34.63,684.0,2139.832071,3.12840946052632,2.0534,11307973,1.89232152482147,0,0,0,0,0,116.838834,38.304477,0,2005,0,0,0,0.64858642905646,5284.514216442923,3.2250696035443314e-09,0.5339506912512083,-0.26312320597760736
2006,河北省,130900,沧州市,12816666,20868362.25,-1.62822080640941,0.14318746,0.045444,0.012785,0.020001,0.004614,0.008044,0.036467,0.018557,9131500.0,11.9,13253.2656023222,1476500.0,6841600.0,4498600.0,11.52,53.38,35.1,689.0,2176.95250737,3.15958273928882,2.2853,12816666,1.69853260385345,0,0,0,0,0,116.838834,38.304477,0,2006,0,0,0,0.6575362488306828,5887.434823042581,3.5456958931441296e-09,0.533804969248633,-0.12076810875526806
2007,河北省,130900,沧州市,14653827,25028874.48,-1.70800941487845,0.13158927,0.038733,0.010095,0.018017,0.007123,0.003498,0.04691,0.01909,11606900.0,10.2,16751.6741715737,1663700.0,7595200.0,5394900.0,11.35,51.83,36.82,692.88,2380.62899152,3.4358460217065,2.1564,14653827,1.62457833815016,0,0,0,0,0,116.838834,38.304477,0,2007,0,0,0,0.7103038761322941,6155.443394245033,2.6432003052854383e-09,0.518308289022383,-0.26869068165689397
2008,河北省,130900,沧州市,17161616,24882361.59,-1.44988453243564,0.11129673,0.031571,0.007659,0.015289,0.005381,0.003242,0.040587,0.020739,13529900.0,9.4,19388.2551874355,2014100.0,8669400.0,6478100.0,12.4,53.3,34.3,697.84,2438.04385364,3.49370035200046,1.8391,17161616,1.42063769148546,0,0,0,0,0,116.838834,38.304477,0,2008,0,0,0,0.7472374097400051,7039.092415986572,1.8396286223861438e-09,0.505162217823776,-0.5275004379644874
2009,河北省,130900,沧州市,18012287,30317402.93,-1.68315122504988,0.19229469,0.063499,0.018772,0.031077,0.007436,0.006213,0.049279,0.020833,14998600.0,8.3,21338.7776007284,2162000.0,8689700.0,7160600.0,12.0,48.24,39.75,702.88,2711.77155415,3.85808609456806,2.0213,18012287,1.50551207303659,0,0,0,0,0,116.838834,38.304477,0,2009,0,0,0,0.8240330506231516,6642.258258235148,3.5253158024852702e-09,0.4824317978055757,0.5055423594877875
2010,河北省,130900,沧州市,22031199,32368902.13,-1.46923016445905,0.15881025,0.046021,0.011416,0.019292,0.005901,0.009413,0.047917,0.024953,18747200.0,11.5,26244.4528439237,2526500.0,11152200.0,8352600.0,11.5,50.62,37.91,714.33,2570.35715325,3.59827692138087,1.7266,22031199,1.1666896355709,0,0,0,0,0,116.838834,38.304477,0,2010,0,0,0,0.7489643299080002,8571.259823617665,2.0889012894849707e-09,0.5062003207360616,0.0784839549462057
2011,河北省,130900,沧州市,25851998,34031564.61,-1.31639978503789,0.19638305,0.062158,0.016005,0.02624,0.010216,0.009696,0.047482,0.022393,22312600.0,10.9,31075.1789643743,2958400.0,13587000.0,9306600.0,11.4,52.56,36.0,718.02,2702.28758058,3.76352689420907,1.5252,25851998,1.04529157884818,0,0,0,0,0,116.838834,38.304477,0,2011,0,0,0,0.684963568116582,9566.70866039036,2.404378957479418e-09,0.5255686620430653,0.5576850412465872
2012,河北省,130900,沧州市,28124212,34420270.7,-1.22386613712057,0.19665701,0.056071,0.013723,0.026717,0.00854,0.007091,0.066052,0.032692,24059900.0,9.4,33423.9553234052,3191800.0,14790800.0,10141700.0,10.3,52.5,37.2,719.84,2887.139943,4.01080787813959,1.4306,28124212,1.02656740853753,0,0,0,0,0,116.838834,38.304477,0,2012,0,0,0,0.6856762311707277,9741.20151958287,1.9936914143585605e-09,0.5259098459363057,0.5611791095513942
2013,河北省,130900,沧州市,30129850,39020992.28,-1.29509414351548,0.13162065,0.037581,0.009019,0.018345,0.00501,0.005208,0.044903,0.024431,25005600.0,9.0,34561.0349402919,3130700.0,15747900.0,11251200.0,10.4,52.27,37.34,723.52,2800.27053924,3.87034296113445,1.5605,30129850,0.929400756804299,0,0,0,0,0,116.838834,38.304477,0,2013,0,0,0,0.7144571657173338,10759.621107243915,1.2473012643607587e-09,0.5226677198857611,-0.26829046314541477
2014,河北省,130900,沧州市,31333822,38143051.07,-1.21731243223377,0.19949365,0.053727,0.014354,0.024949,0.010656,0.003768,0.067186,0.041802,25760200.0,8.0,35414.0775364311,3177400.0,16282900.0,11873600.0,10.1,51.97,37.89,727.4,2770.59599584,3.80890293626615,1.4807,31333822,0.884218974576418,0,0,0,0,0,116.838834,38.304477,0,2014,0,0,0,0.7292067137917693,11309.415752800904,1.7146647478880807e-09,0.519658916808808,0.5973574345482832
2015,河北省,130900,沧州市,33206328,40507121.32,-1.21986150711997,0.2416823,0.078313,0.022585,0.037384,0.013219,0.005125,0.059763,0.028333,26580200.0,7.7,36382.8243700125,3194400.0,16464200.0,13547700.0,9.6,49.58,40.8,730.57,2804.64543336,3.83898248403301,1.524,33206328,0.844611735859502,0,0,0,0,0,116.838834,38.304477,0,2015,0,0,0,0.8228580799552969,11839.75970902618,2.358375789096584e-09,0.4958151349947516,1.1354287763047288
2016,河北省,130900,沧州市,35446800,39701538.9,-1.12003167845899,0.21925128,0.056437,0.013581,0.026596,0.009444,0.006816,0.084542,0.044958,30031000.0,7.7,40965.5153598516,3086200.0,17577800.0,14782800.0,8.7,49.59,41.7,733.08,2822.02312434,3.84954319356687,1.322,35446800,0.796129163800399,0,0,0,0,0,116.838834,38.304477,0,2016,0,0,0,0.8409926156856945,12560.775882476199,1.592160646377106e-09,0.49589243598858007,0.8493449829535392
2017,河北省,130900,沧州市,36434034,40441705.06,-1.10999800516188,0.20321183,0.052592,0.015717,0.022091,0.009833,0.004951,0.077737,0.03935,31731400.0,6.7,43191.952740043,3077000.0,19045100.0,16046900.0,8.1,49.9,42.0,734.66,3618.02440284,4.92476030114611,1.2745,36434034,0.993034260998933,0,0,0,0,0,116.838834,38.304477,0,2017,0,0,0,0.8425736803692289,10070.146008799937,1.4434855058871604e-09,0.5227282820233411,0.6447788642809718
2018,河北省,130900,沧州市,36764121,42433011.56,-1.15419627630972,0.24392541,0.064284,0.018174,0.027145,0.0103,0.008665,0.086388,0.046271,32669300.0,6.3,44893.9123265082,2745300.0,13087400.0,16836600.0,7.5,42.98,49.52,727.7,3593.910287,4.93872514360313,1.2989,36764121,0.977559149857003,0,0,0,0,0,116.838834,38.304477,0,2018,0,0,0,1.2864740131729755,10229.560023516524,1.7485526173738792e-09,0.35598294326144775,1.164037257671336
2019,河北省,130900,沧州市,35880000,43047102.76,-1.19975202787068,0.20081287,0.05593,0.016429,0.02617,0.006691,0.006639,0.069046,0.03653,35880000.0,6.86,49224.1840556447,2926100.0,14114400.0,18839500.0,8.16,39.86,51.98,728.91,3660.45242949,5.02181672564514,1.1998,35880000,1.02019298480769,0,0,0,0,0,116.838834,38.304477,0,2019,0,0,0,1.3347715807969167,9802.06700978738,1.5588071348940914e-09,0.3933779264214047,0.614182681989762
2020,河北省,130900,沧州市,37000000,45677128.1,-1.23451697567568,0.28452376,0.088262,0.024499,0.037554,0.009096,0.017113,0.077084,0.029456,36998700.0,4.1,50667.8809126017,3149500.0,14337600.0,19511500.0,8.5,38.8,52.7,730.22,3520.99872006,4.82183276281121,1.2346,37000000,0.951621275691892,0,0,0,0,0,116.838834,38.304477,0,2020,0,0,0,1.3608623479522375,10508.382121584384,2.3854594594594592e-09,0.3875027027027027,1.6818260150171578
2021,河北省,130900,沧州市,41630000,47993628.48,-1.15286160172952,0.23716119,0.067553,0.019355,0.02757,0.010278,0.01035,0.078582,0.032667,41633900.0,7.0,57001.5060240964,3328300.0,17284200.0,21021500.0,8.0,41.5,50.0,730.4,3631.80446572,4.97235003521358,1.1528,41630000,0.872400784463128,0,0,0,0,0,116.838834,38.304477,0,2021,0,0,0,1.216226380162229,11462.621513062904,1.6226999759788615e-09,0.4151861638241653,1.0777668287446984
2022,河北省,130900,沧州市,43880000,48214248.34,-1.09877503053783,0.17972233,0.051953,0.010906,0.021324,0.008574,0.011149,0.056284,0.024488,43881700.0,4.2,59990.2936512277,3676100.0,18235400.0,21970100.0,8.4,41.5,50.1,731.48,2914.3209361,3.98414301976814,1.0987,43880000,0.664157004580675,0,0,0,0,0,116.838834,38.304477,0,2022,0,0,0,1.2048049398422849,15056.68077130896,1.18397903372835e-09,0.4155742935278031,0.345195284759275
2023,河北省,130900,沧州市,44400000,49994917.69,-1.12601165968468,0.20393944,0.044001,0.010105,0.022726,0.014518,0.019596,0.041633,0.023956,44401000.0,5.8,61119.6762381962,3724000.0,16869000.0,23808000.0,8.4,38.0,53.6,726.46,3084.5179,4.24595696941332,1.126,47390400,0.650874,0,0,0,0,0,116.838834,38.304477,0,2023,0,0,0,1.4113462564467367,15363.956876372804,9.284791856578547e-10,0.35595816874303654,0.6540587556492758
2024,河北省,130900,沧州市,47230000,49888655.31,-1.05629166440821,0.21990741,0.042501,0.009448,0.022601,0.016453,0.026585,0.036563,0.021239,47228000.0,5.5,65343.0551904479,3709000.0,17835000.0,25684000.0,7.9,37.8,54.3,722.77,3264.6511,4.51686027366936,1.0563,51181632,0.637856,0,0,0,0,0,116.838834,38.304477,0,2024,0,0,0,1.44008971124194,15677.519720254333,8.303955606573858e-10,0.3484648555169167,0.8577132229770209
2000,广西壮族自治区,451200,河池市,956063,2822181.07,-2.95187772144723,0.08290101,0.02503,0.006045,0.010845,0.003424,0.004716,0.026919,0.013148,1413900.0,7.97,3233.55385858971,418100.0,563100.0,432700.0,29.6,39.8,30.6,437.258837128713,139.0818884,0.318076792485864,1.996,9090000,0.153005377777778,0,0,0,0,0,108.085261,24.692931,0,2000,0,0,0,0.7684247913336885,65357.17989287813,2.7535753575357536e-09,0.061947194719471944,-0.8896576333367104
2001,广西壮族自治区,451200,河池市,1201065,2896665.77,-2.4117477155691,0.11856697,0.038055,0.011061,0.0171,0.00409,0.005804,0.036388,0.012255,1453100.0,3.8,3292.27752291792,430500.0,545800.0,476800.0,29.6,37.6,32.8,441.366194035832,139.35854394,0.315743583951711,1.9934,9720000,0.143372987592593,0,0,0,0,0,108.085261,24.692931,0,2001,0,0,0,0.8735800659582265,69748.14550433942,3.915123456790123e-09,0.056152263374485596,-0.4347762623463678
2002,广西壮族自治区,451200,河池市,1446067,3087126.89,-2.13484360683149,0.12161859,0.040566,0.011773,0.017571,0.005384,0.005838,0.026243,0.014355,1446100.0,-4.8,3277.9060428658,446300.0,381600.0,618100.0,31.2,30.5,38.3,441.165787270616,153.0094124,0.346829733435658,2.1348,782521,1.95533937619565,0,0,0,0,0,108.085261,24.692931,0,2002,0,0,0,1.6197589098532494,5114.20171952768,5.184014230927988e-08,0.4876546444120988,-0.3958560961895743
2003,广西壮族自治区,451200,河池市,1432723,3367974.77,-2.35075082203608,0.11449057,0.036652,0.008377,0.017802,0.006562,0.003911,0.037717,0.011861,1560800.0,6.2,3575.5157095358,476300.0,503800.0,580700.0,29.8,31.0,39.1,436.524442009132,195.12295404,0.44699204732256,2.1579,1201065,1.62458279976521,0,0,0,0,0,108.085261,24.692931,0,2003,0,0,0,1.1526399364827313,6155.426489462552,3.051625016131516e-08,0.41946106164112684,-0.4867664070306839
2004,广西壮族自治区,451200,河池市,1744381,3736239.92,-2.1418714833514,0.1108844,0.033657,0.008572,0.014314,0.003747,0.007024,0.034579,0.015036,1752500.0,11.5,3996.87899478796,544100.0,610400.0,598100.0,30.6,32.9,36.5,438.467114537445,208.02322644,0.474432903957806,2.1319,1446067,1.43854486991267,0,0,0,0,0,108.085261,24.692931,0,2004,0,0,0,0.9798492791612058,6951.468952516647,2.327485517614329e-08,0.4221104554629903,-0.532759268392729
2005,广西壮族自治区,451200,河池市,2069592,4098929.72,-1.98054965423136,0.13651569,0.035606,0.010423,0.015492,0.005841,0.00385,0.050173,0.030266,2077500.0,10.9,5490.51218351921,583900.0,761400.0,732200.0,28.29,36.76,34.95,378.38,229.94690355,0.60771421203552,1.973,1432723,1.60496413856691,0,0,0,0,0,108.085261,24.692931,0,2005,0,0,0,0.9616495928552666,6230.668810412863,2.4851977667699895e-08,0.5314355950173202,-0.20585943629929704
